address,city,latitude,longitude
324 Main St,Massena,44.9213,-74.89021
530 Clinton Ave,Washington Court House,39.53255,-83.44526
408 Market Square Dr,Maysville,38.62736,-83.79141
6098 State Highway 37,Massena,44.95008,-74.84553
139 Columbus Rd,Athens,39.35155,-82.09728
4182 Tonya Trl,Hamilton,39.4176,-84.47641
590 S Main St,Englewood,39.86969,-84.29358
401 N Jennings St,Saluda,34.00598,-81.7704
205 W Church St,Batesburg,33.91335,-81.5333
2711 W. Kings Highway Ste. 18,Paragould,36.06107,-90.52325
613 W Center St,Sheridan,34.30687,-92.40784
512 Highway 425 S Lot B,Monticello,33.61937,-91.80232
1535 NW 50th St,Oklahoma City,35.52234,-97.5382
125 Towne Center Dr,Lexington,38.06753,-84.53043
66 14th St.,Tell City,37.941032,-86.762115
301 University Blvd,Louisville,38.21999,-85.764824
5812 NW Expressway,Oklahoma City,35.54815,-97.61717
101 Thomas Garst Ln,Leland,34.23389,-77.99544
1111 New Pointe Blvd,Leland,34.21188,-78.02454
782 Old Hickory Blvd Ste 120,Brentwood,36.04222,-86.77995
108 Village Rd NE,Leland,34.234477,-78.000649
1116 Old Highway 60,Hardinsburg,37.792641,-86.492762
1423 Southwest Pkwy,Wichita Falls,33.85371,-98.50065
908 Padre Blvd,South Padre Island,26.09105,-97.1643
1131n N Main St,Miami,36.88826,-94.87766
3401 Hwy 165 North,Pineville,31.3626,-92.41343
1631 E Madison Ave,Bastrop,32.77992,-91.89477
301 S Lynn Riggs Blvd,Claremore,36.31069,-95.61759
601 E Lincolnway,Minerva,40.732,-81.09812
3211 S 4th St,Leavenworth,39.28532,-94.90441
105 Business Loop W,Jamestown,46.898997,-98.707788
1531 University Dr S,Fargo,46.85659,-96.79863
718 10th St SE,Jamestown,46.89896,-98.6984
1400 24th Ave SW,Minot,48.20858,-101.3128
703 S Magnolia St,Woodville,30.76846,-94.41477
1535 S Broadway,Minot,48.219459,-101.296022
775 S Main St,Smithfield,41.82069,-111.83318
218 W Main St,Ada,34.77482,-96.68126
3208 S Elm Pl,Broken Arrow,36.01948,-95.79756
3056 Classen Blvd Unit A,Norman,35.18173,-97.41709
982 Macon St,Warner Robins,32.59495,-83.58338
6060 San Mateo Blvd NE,Albuquerque,35.144456,-106.585927
8401 Gateway Blvd W Ste M4,El Paso,31.77465,-106.38071
450 N Harrison Ave,Shawnee,35.33252,-96.91222
9455 SW Barbur Blvd,Portland,45.457027,-122.713696
351 River Hill Dr,Ashland,38.48554,-82.658096
18000 Bagley Rd,Cleveland,41.373042,-81.826072
3700 N 1st Ave,Evansville,38.01322,-87.57549
895 N Highway 77 Ste 300,Waxahachie,32.41269,-96.84213
819 SW 19th St,Oklahoma City,35.32026,-97.50536
"95-1249 Meheula Parkway,",Mililani,21.45311,-158.01738
1625 Veterans Pkwy,Jeffersonville,38.32967,-85.74938
2730 S Hurstbourne Pkwy Suite 100,Louisville,38.21234,-85.59548
5680 Commercial St SE Ste 100,Salem,44.87205,-123.02243
2870 W Loop 1604 S,San Antonio,29.4033,-98.70619
1321 Herr Ln Ste 150,Louisville,38.26897,-85.61074
100 Northside Dr,Bennington,42.89413,-73.20316
6611 S Mo Pac Expy Ste B,Austin,30.22023,-97.83528
9300 S Interstate 35 Bldg H,Austin,30.16525,-97.78887
315 N Stephenson Ave,Iron Mountain,45.825755,-88.063121
2439 Springs Rd NE,Hickory,35.75332,-81.28572
9651 Natural Bridge Rd,Saint Louis,38.72914,-90.34394
1665 Dove Park Rd Ste 300,Mandeville,30.41178,-90.04186
225 Grant Ave,Auburn,42.94987,-76.54722
5400 FM 1640 Rd Ste 500,Richmond,29.55941,-95.76008
