title,price,URL
"Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SAPPHIRE BLUE-Z, Blue,2023 Model)","â‚¹12,990",https://www.amazon.in/Whirlpool-Refrigerator-205-WDE-CLS/dp/B0BSRVL2VV/ref=sr_1_1?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.Yi0f0zfN3OLeGazR_Pev6jsov5WrbleUnVgphTYSIX7NlLHLdQH7nM2ltNmV3QKs8Euigiu8DuzDbVB2uaCuYKFcXXnHA7YsuNfG61X-DxiS9mLXEPYQffzYrOXcC7-QKdBli4ZCulivFj6rgwm91JbjsQx0aaG6BdrnAKEfzMbnjVCerVCn1m3mDOCvPKIzYt589r0e3t_oB2XMmjFrj-Bl5gr_LeP2Xe5feagHugs.FiNiASlfINT1_eAvEEiyqadMR1lzvsIklb0rYH1N_0w&dib_tag=se&keywords=FRIDGE&qid=1756774139&sprefix=fridge%2Caps%2C424&sr=8-1
"Whirlpool 192 L 3 Star Vitamagic PRO Frost Free Direct-Cool Single Door Refrigerator (215 VMPRO PRM 3S RADIANT STEEL-Z Fridge, Silver, Auto Defrost Technology)","â‚¹15,790",https://www.amazon.in/Whirlpool-Refrigerator-215-VMPRO-PRM/dp/B0DVC6NTTL/ref=sr_1_2?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.Yi0f0zfN3OLeGazR_Pev6jsov5WrbleUnVgphTYSIX7NlLHLdQH7nM2ltNmV3QKs8Euigiu8DuzDbVB2uaCuYKFcXXnHA7YsuNfG61X-DxiS9mLXEPYQffzYrOXcC7-QKdBli4ZCulivFj6rgwm91JbjsQx0aaG6BdrnAKEfzMbnjVCerVCn1m3mDOCvPKIzYt589r0e3t_oB2XMmjFrj-Bl5gr_LeP2Xe5feagHugs.FiNiASlfINT1_eAvEEiyqadMR1lzvsIklb0rYH1N_0w&dib_tag=se&keywords=FRIDGE&qid=1756774139&sprefix=fridge%2Caps%2C424&sr=8-2
"Samsung 183 L, 4 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1724CU/HL, Camellia Blue)","â‚¹15,490",https://www.amazon.in/Samsung-Inverter-Refrigerator-RR20C1724CU-HL/dp/B0BR3VMT96/ref=sr_1_11?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.Yi0f0zfN3OLeGazR_Pev6jsov5WrbleUnVgphTYSIX7NlLHLdQH7nM2ltNmV3QKs8Euigiu8DuzDbVB2uaCuYKFcXXnHA7YsuNfG61X-DxiS9mLXEPYQffzYrOXcC7-QKdBli4ZCulivFj6rgwm91JbjsQx0aaG6BdrnAKEfzMbnjVCerVCn1m3mDOCvPKIzYt589r0e3t_oB2XMmjFrj-Bl5gr_LeP2Xe5feagHugs.FiNiASlfINT1_eAvEEiyqadMR1lzvsIklb0rYH1N_0w&dib_tag=se&keywords=FRIDGE&qid=1756774139&sprefix=fridge%2Caps%2C424&sr=8-11
"Samsung 419 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, Bespoke AI WiFi Enabled Refrigerator (RT45DG6A4DB1HL, Black Matte/Black DOI)","â‚¹48,990",https://www.amazon.in/Samsung-Convertible-Inverter-Refrigerator-RT45DG6A4DB1HL/dp/B0DFCW2KRF/ref=sr_1_117?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-117
"LG 185 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D199OSEY, Scarlet Euphoria, Base stand with drawer)","â‚¹16,490",https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D199OSEY/dp/B0BSLNLG9J/ref=sr_1_118?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-118
"Haier 325 L 3 Star Frost Free Bottom Mount Double Door Refrigerator|Convertible 14-in-1|Jhukna Mat-Bottom Freezer|Digital Display Panel|Triple Inverter|Twist Ice Maker (HEB-333DS-P, Dazzle Steel)","â‚¹34,990",https://www.amazon.in/Haier-Inverter-Refrigerator-HEB-333DS-P-Convertible/dp/B0BTHLGYHZ/ref=sr_1_119?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-119
"Samsung 223 L, 3 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR24D2Z23CU/NL, Camellia Blue, Base Stand Drawer)","â‚¹19,290",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR24D2Z23CU-NL/dp/B0CPPLC68D/ref=sr_1_120?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-120
"LG 246 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (, GL-S262SESX, Ebony Sheen, Convertible)",,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-S262SESX-Convertible/dp/B0BSDQ7HBQ/ref=sr_1_121?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-121
"SHARP 187 L Direct Cool Single Door 2 Star Refrigerator | Glass Shelves| 2.25L Bottle Space | Japan 7 Shield Protection | 60 Mins Fast Ice (Hibiscus Red, SJ-DF207N2-PRR)","â‚¹13,990",https://www.amazon.in/SHARP-Refrigerator-Protection-SJ-DF207N2-PRR-Hibuscus/dp/B0DF2PBH3Z/ref=sr_1_122?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-122
Lloyd Havells 91 L 1 Star Direct-Cool Single Door Fridge (Gldc111Rmgw1Eb Metallic Grey),,https://www.amazon.in/Direct-Cool-Single-Fridge-GLDC111RMGW1EB-METALLIC/dp/B08PP223WX/ref=sr_1_123?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-123
